frame, Pts detected, Pts after NMS, Pts Stereo Match, Mean 3D reproj error, 8-point ransac it, Pts Tracking, Pts Quad Match, GN it, GN mean it,  Num inliers GN
343,2010,463,192,0.102467,5,186,113,4,4,88
344,2008,455,208,0.106399,5,196,128,4,4,92
345,2010,443,210,0.114539,6,197,137,4,4,100
346,2005,449,216,0.122227,7,207,133,3,6,100
347,2005,435,225,0.108711,8,196,115,3,4,90
348,2010,425,214,0.143723,5,207,132,4,8,85
349,2007,433,219,0.141436,8,215,137,4,5,103
350,2011,416,235,0.117136,4,230,149,4,4,111
351,2004,415,232,0.108945,4,223,136,4,7,102
352,2008,401,223,0.129105,5,215,122,3,6,90
353,2004,414,242,0.124725,4,234,148,3,5,104
354,2008,431,241,0.119263,7,226,140,4,6,96
355,2006,431,240,0.114861,4,233,144,4,4,94
356,2003,419,230,0.119828,5,221,123,4,6,91
357,2006,441,243,0.117321,6,230,119,3,6,93
358,2005,445,239,0.152476,6,220,125,3,5,89
359,2005,441,231,0.139475,4,222,117,4,7,80
360,2006,453,223,0.141178,5,211,113,4,4,82
361,2005,454,213,0.134968,5,201,114,4,4,89
362,2006,456,227,0.150255,8,209,117,4,4,91
363,2004,453,196,0.118114,5,184,105,4,4,78
364,2004,456,218,0.138928,5,210,112,4,6,74
365,2007,457,214,0.113578,9,206,107,4,6,72
366,2010,466,214,0.138192,8,199,126,4,5,96
367,2005,477,223,0.135483,7,204,108,3,5,86
368,2007,471,213,0.12914,7,199,104,4,4,87
369,2006,470,206,0.105037,9,182,114,4,4,91
370,2006,485,210,0.123968,7,190,105,4,4,76
371,2003,503,190,0.130312,11,161,91,3,4,76
372,2005,479,193,0.123242,7,181,121,4,5,97
373,2005,478,172,0.120271,7,161,105,4,5,76
374,2008,464,184,0.110586,12,173,118,3,3,100
375,2009,484,179,0.120319,5,170,99,4,4,81
376,2005,470,175,0.13016,9,159,98,3,5,76
377,2006,469,178,0.107357,4,174,114,4,4,98
378,2010,453,180,0.129407,4,175,120,3,4,96
379,2013,454,165,0.106119,5,160,100,4,4,82
380,2008,456,167,0.113292,4,166,115,3,4,104
381,2007,446,181,0.113753,5,175,109,3,4,92
382,2008,455,187,0.110418,10,174,110,3,4,90
383,2007,454,180,0.108058,8,169,119,4,4,96
384,2005,428,196,0.109822,5,183,121,4,4,101
385,2005,431,200,0.100688,7,187,125,4,4,101
386,2007,417,187,0.124244,6,182,109,4,4,83
387,2007,432,164,0.152567,7,155,90,4,4,64
388,2006,408,178,0.116844,16,148,87,4,4,75
389,2002,406,167,0.0967921,4,163,76,4,5,54
390,2007,392,141,0.138391,5,133,76,4,5,57
391,2002,387,172,0.113892,5,156,103,4,3,85
392,2005,387,156,0.13399,17,133,79,4,4,66
393,2009,355,148,0.134148,8,135,80,4,4,57
394,2004,346,128,0.13032,10,116,79,4,4,64
395,2004,338,129,0.136449,5,119,77,3,4,54
396,2005,321,121,0.12852,8,116,65,3,5,47
397,2005,331,124,0.125533,5,122,84,4,4,65
398,2005,322,142,0.135988,8,135,88,4,5,66
399,2005,335,146,0.105463,10,135,95,3,4,66
400,2005,334,162,0.10648,6,157,100,4,5,76
401,2004,329,144,0.144638,7,137,90,3,4,66
402,2004,330,147,0.155378,7,140,92,4,4,61
403,2005,328,152,0.136337,10,142,100,4,5,72
404,2007,322,167,0.129746,9,152,105,3,5,75
405,2009,320,174,0.133207,7,165,105,4,5,75
406,2005,334,159,0.143731,9,148,93,3,5,58
407,2005,340,184,0.12548,9,161,93,4,3,68
408,2007,347,162,0.175474,22,140,72,4,4,44
409,2009,356,155,0.143143,14,135,77,3,5,59
410,2004,381,189,0.0999712,10,170,119,3,5,93
411,2005,382,180,0.116767,11,161,99,4,3,82
412,2005,403,186,0.127531,16,161,110,4,5,82
413,2010,406,193,0.115508,12,171,98,4,4,82
414,2005,406,200,0.113672,10,178,106,4,5,83
415,2006,423,187,0.135554,19,152,105,4,4,82
416,2004,425,181,0.155827,10,156,94,4,4,65
417,2006,421,205,0.119373,10,175,103,3,7,80
418,2004,419,173,0.141873,5,145,73,3,5,52
419,2006,396,180,0.115624,5,169,100,3,5,67
420,2008,412,181,0.154826,8,171,99,3,5,56
421,2007,413,188,0.132854,9,168,99,4,4,66
422,2004,429,173,0.139035,8,161,90,4,5,54
423,2005,435,171,0.134302,8,154,99,4,3,79
424,2008,452,164,0.151035,11,148,98,3,3,74
425,2007,472,188,0.122346,9,163,97,3,4,66
426,2007,486,183,0.123538,5,175,114,4,5,84
427,2005,479,191,0.128252,6,180,124,3,3,101
428,2007,463,183,0.0942455,6,171,118,4,4,95
429,2008,487,199,0.106372,7,181,113,4,7,89
430,2002,489,199,0.141559,7,179,107,4,4,79
431,2007,495,190,0.113293,10,154,106,3,4,81
432,2004,482,210,0.103268,12,173,114,3,5,86
433,2007,480,202,0.121657,8,180,113,4,4,89
434,2006,475,202,0.109455,11,182,102,4,4,79
435,2007,470,208,0.12092,9,189,101,4,6,84
436,2006,481,203,0.0976965,9,180,107,4,4,91
437,2009,475,211,0.125486,11,185,106,4,4,76
438,2005,464,223,0.12735,9,203,108,4,6,89
439,2007,491,197,0.129107,12,170,97,4,4,77
440,2008,475,224,0.150326,8,200,119,4,5,77
441,2007,486,225,0.111363,6,209,126,4,6,100
442,2006,481,219,0.15538,7,201,104,4,8,69
443,2006,490,239,0.122445,10,207,121,4,5,88
444,2010,486,221,0.131682,9,193,108,4,5,81
445,2007,489,223,0.115721,15,167,96,4,4,68
446,2006,477,221,0.135046,10,185,105,4,5,80
447,2004,491,254,0.118163,18,203,109,4,5,74
448,2009,499,242,0.132376,12,209,104,4,5,74
449,2007,488,229,0.145153,17,176,95,4,4,61
450,2008,482,231,0.138311,11,197,102,4,6,70
451,2008,492,252,0.115302,31,186,106,4,5,78
452,2005,473,262,0.147715,9,219,99,4,7,67
453,2004,487,240,0.155683,26,209,106,4,5,78
454,2004,451,225,0.13171,10,194,90,4,6,55
455,2009,461,217,0.123648,19,176,84,4,5,68
456,2009,450,206,0.125609,25,171,78,4,4,61
457,2007,461,204,0.113552,18,169,77,4,5,55
458,2007,467,212,0.120102,28,170,85,4,4,70
459,2006,459,197,0.142501,15,162,83,4,5,62
460,2010,444,183,0.122891,18,157,73,4,4,66
461,2007,436,190,0.115912,24,142,79,4,4,63
462,2009,429,173,0.136514,17,143,87,4,3,71
463,2008,429,163,0.105204,18,135,88,3,3,73
464,2009,434,171,0.133896,14,145,89,4,5,68
465,2006,423,140,0.115793,5,133,75,4,4,59
466,2005,416,159,0.156661,5,153,87,4,5,73
467,2006,432,174,0.113371,7,168,107,4,4,89
468,2005,417,158,0.138333,6,154,99,4,5,79
469,2007,430,157,0.118408,7,151,96,4,4,83
470,2008,431,155,0.108512,7,141,88,3,4,74
471,2010,433,151,0.1335,5,141,93,4,4,70
472,2004,434,161,0.115201,7,152,97,4,3,71
473,2006,444,152,0.147347,5,149,84,3,4,65
474,2010,437,148,0.133663,6,142,87,3,4,73
475,2007,444,180,0.116717,6,172,102,3,5,78
476,2009,445,172,0.137765,10,157,99,3,4,75
477,2007,437,178,0.120079,7,165,116,4,5,88
478,2007,444,171,0.135522,9,157,103,3,4,85
479,2006,442,170,0.111929,10,150,93,4,3,79
480,2006,425,163,0.123981,9,145,83,4,3,64
481,2007,440,168,0.112809,9,147,81,3,4,65
482,2006,422,182,0.124939,8,169,111,4,4,88
483,2008,421,183,0.128546,6,171,111,4,4,79
484,2007,440,184,0.10377,5,175,117,4,3,98
485,2007,439,170,0.13108,7,161,93,4,5,73
486,2005,440,184,0.119541,14,153,106,4,6,78
487,2006,440,180,0.107693,11,159,96,4,5,75
488,2005,433,174,0.140827,11,154,89,4,5,57
489,2006,433,173,0.102016,8,151,85,4,5,62
490,2007,426,192,0.0910315,6,181,123,4,4,105
491,2004,425,193,0.102271,6,177,127,3,4,102
492,2007,433,198,0.111891,5,182,123,4,3,87
493,2006,436,195,0.101779,6,182,120,3,3,88
494,2008,446,191,0.118786,5,184,117,4,3,96
495,2008,444,194,0.112423,14,179,112,4,5,84
496,2004,455,208,0.104125,5,195,137,4,4,108
497,2004,464,221,0.0990567,6,206,138,3,4,113
498,2007,458,215,0.111335,6,191,118,4,4,95
499,2009,469,230,0.115468,7,199,118,3,4,86
